Date,Description,Amount
2025-04-01,Monthly Salary Deposit,5000.00
2025-04-01,Rent Payment,-1200.00
2025-04-02,Whole Foods Market,-127.45
2025-04-03,Shell Gas Station,-52.30
2025-04-03,Starbucks Coffee,-8.75
2025-04-04,Netflix Subscription,-15.99
2025-04-05,Amazon.com,-89.99
2025-04-05,Chipotle Mexican Grill,-14.50
2025-04-06,Uber Ride,-35.20
2025-04-07,CVS Pharmacy,-42.80
2025-04-08,Electric Company,-125.00
2025-04-08,Target,-67.34
2025-04-09,Panera Bread,-12.85
2025-04-10,Spotify Premium,-10.99
2025-04-10,Trader Joe's,-94.20
2025-04-03,Shell Gas Station,-52.30
2025-04-05,Amazon.com,-89.99
2025-04-08,Target,-67.34
2025-04-11,Chevron Gas Station,-48.90
2025-04-12,AMC Theaters,-32.00
2025-04-13,Domino's Pizza,-28.50
2025-04-14,Lyft Ride,-18.75
2025-04-15,Freelance Project,750.00
2025-04-15,Verizon Wireless,-85.00
