Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/01/2025,04/01/2025,PAYROLL DEPOSIT,Income,Sale,5000.00,Monthly Salary
04/01/2025,04/01/2025,DOWNTOWN APARTMENTS,Bills & Utilities,Sale,-1200.00,Rent
04/02/2025,04/02/2025,WHOLE FOODS MKT,Shopping,Sale,-127.45,Groceries
04/03/2025,04/03/2025,SHELL OIL,Gas,Sale,-52.30,Gas
04/03/2025,04/03/2025,STARBUCKS,Food & Drink,Sale,-8.75,Coffee
04/04/2025,04/04/2025,NETFLIX.COM,Entertainment,Sale,-15.99,Streaming
04/05/2025,04/05/2025,AMAZON.COM,Shopping,Sale,-89.99,Electronics
04/05/2025,04/05/2025,CHIPOTLE,Food & Drink,Sale,-14.50,Lunch
04/06/2025,04/06/2025,UBER,Travel,Sale,-35.20,Ride
04/07/2025,04/07/2025,CVS PHARMACY,Health & Wellness,Sale,-42.80,Prescriptions
04/08/2025,04/08/2025,ELECTRIC COMPANY,Bills & Utilities,Sale,-125.00,Electric Bill
04/08/2025,04/08/2025,TARGET,Shopping,Sale,-67.34,Household
04/09/2025,04/09/2025,PANERA BREAD,Food & Drink,Sale,-12.85,Lunch
04/10/2025,04/10/2025,SPOTIFY,Entertainment,Sale,-10.99,Music
04/10/2025,04/10/2025,TRADER JOES,Shopping,Sale,-94.20,Groceries
04/11/2025,04/11/2025,CHEVRON,Gas,Sale,-48.90,Gas
04/12/2025,04/12/2025,AMC THEATERS,Entertainment,Sale,-32.00,Movie
04/13/2025,04/13/2025,DOMINOS PIZZA,Food & Drink,Sale,-28.50,Delivery
04/14/2025,04/14/2025,LYFT,Travel,Sale,-18.75,Ride
04/15/2025,04/15/2025,FREELANCE PAYMENT,Income,Sale,750.00,Project
04/15/2025,04/15/2025,VERIZON WIRELESS,Bills & Utilities,Sale,-85.00,Phone
04/16/2025,04/16/2025,SAFEWAY,Shopping,Sale,-112.60,Groceries
04/17/2025,04/17/2025,STARBUCKS,Food & Drink,Sale,-9.25,Coffee
04/18/2025,04/18/2025,APPLE STORE,Shopping,Sale,-159.00,AirPods
04/18/2025,04/18/2025,OLIVE GARDEN,Food & Drink,Sale,-54.30,Dinner
04/19/2025,04/19/2025,BP GAS,Gas,Sale,-51.20,Gas
04/20/2025,04/20/2025,WALGREENS,Health & Wellness,Sale,-38.45,Health
04/21/2025,04/21/2025,COSTCO,Shopping,Sale,-186.75,Bulk
04/22/2025,04/22/2025,UBER EATS,Food & Drink,Sale,-32.80,Delivery
04/23/2025,04/23/2025,LA FITNESS,Health & Wellness,Sale,-45.00,Gym
04/24/2025,04/24/2025,COMCAST,Bills & Utilities,Sale,-89.99,Internet
04/24/2025,04/24/2025,KROGER,Shopping,Sale,-78.90,Groceries
04/25/2025,04/25/2025,MCDONALDS,Food & Drink,Sale,-8.45,Breakfast
04/26/2025,04/26/2025,STEAM GAMES,Entertainment,Sale,-29.99,Gaming
04/27/2025,04/27/2025,NORDSTROM,Shopping,Sale,-145.00,Clothing
04/28/2025,04/28/2025,SHELL OIL,Gas,Sale,-49.80,Gas
04/28/2025,04/28/2025,SUBWAY,Food & Drink,Sale,-11.50,Lunch
04/29/2025,04/29/2025,AMAZON PRIME,Entertainment,Sale,-14.99,Subscription
04/30/2025,04/30/2025,WATER UTILITY,Bills & Utilities,Sale,-65.00,Water
04/30/2025,04/30/2025,WHOLE FOODS MKT,Shopping,Sale,-103.25,Groceries
