Date,Description,Amount
2025-04-01,Monthly Salary Deposit,5000.00
2025-04-01,Rent Payment - Downtown Apartments,-1200.00
2025-04-02,Whole Foods Market - Groceries,-127.45
2025-04-03,Shell Gas Station,-52.30
2025-04-03,Starbucks Coffee,-8.75
2025-04-04,Netflix Subscription,-15.99
2025-04-05,Amazon.com - Electronics,-89.99
2025-04-05,Chipotle Mexican Grill,-14.50
2025-04-06,Uber Ride to Airport,-35.20
2025-04-07,CVS Pharmacy - Prescriptions,-42.80
2025-04-08,Electric Company - Monthly Bill,-125.00
2025-04-08,Target - Household Items,-67.34
2025-04-09,Panera Bread - Lunch,-12.85
2025-04-10,Spotify Premium Subscription,-10.99
2025-04-10,Trader Joe's - Groceries,-94.20
2025-04-11,Chevron Gas Station,-48.90
2025-04-12,AMC Theaters - Movie Tickets,-32.00
2025-04-13,Domino's Pizza Delivery,-28.50
2025-04-14,Lyft Ride,-18.75
2025-04-15,Freelance Project Payment,750.00
2025-04-15,Verizon Wireless - Phone Bill,-85.00
2025-04-16,Safeway - Groceries,-112.60
2025-04-17,Starbucks Coffee,-9.25
2025-04-18,Apple Store - AirPods,-159.00
2025-04-18,Olive Garden - Dinner,-54.30
2025-04-19,BP Gas Station,-51.20
2025-04-20,Walgreens - Health & Beauty,-38.45
2025-04-21,Costco Wholesale - Bulk Shopping,-186.75
2025-04-22,Uber Eats - Thai Food Delivery,-32.80
2025-04-23,LA Fitness - Gym Membership,-45.00
2025-04-24,Comcast Internet & Cable,-89.99
2025-04-24,Kroger - Groceries,-78.90
2025-04-25,McDonald's - Breakfast,-8.45
2025-04-26,Steam - Video Game Purchase,-29.99
2025-04-27,Nordstrom - Clothing,-145.00
2025-04-28,Shell Gas Station,-49.80
2025-04-28,Subway - Lunch,-11.50
2025-04-29,Amazon Prime Subscription,-14.99
2025-04-30,Water & Sewer Utility Bill,-65.00
2025-04-30,Whole Foods Market - Groceries,-103.25
