Date,Description,Amount
2025-04-07,Whole Foods Market - Weekly Groceries,-145.30
2025-04-07,Shell Gas Station,-52.30
2025-04-08,Starbucks Coffee - Morning,-8.75
2025-04-08,Chipotle - Lunch,-14.50
2025-04-09,CVS Pharmacy - Prescriptions,-42.80
2025-04-09,Target - Household Items,-67.34
2025-04-10,Panera Bread - Lunch,-12.85
2025-04-10,Uber Ride to Office,-18.50
2025-04-11,Trader Joe's - Groceries,-94.20
2025-04-11,Starbucks Coffee - Afternoon,-9.25
2025-04-12,AMC Theaters - Movie Night,-32.00
2025-04-12,Domino's Pizza - Dinner,-28.50
2025-04-13,Chevron Gas Station,-48.90
2025-04-13,Subway - Lunch,-11.50
