Date,Description,Amount
2025-01-01,Monthly Salary,5000.00
2025-01-01,Rent Payment,-1200.00
2025-01-05,Whole Foods,-145.30
2025-01-08,Shell Gas,-55.20
2025-01-10,Netflix,-15.99
2025-01-12,Target Shopping,-89.45
2025-01-15,Freelance Income,500.00
2025-01-18,Chipotle,-16.50
2025-01-20,Electric Bill,-118.00
2025-01-22,CVS Pharmacy,-35.80
2025-01-25,Uber Ride,-22.50
2025-01-28,Amazon Purchase,-67.99
2025-02-01,Monthly Salary,5000.00
2025-02-01,Rent Payment,-1200.00
2025-02-03,Trader Joe's,-98.75
2025-02-06,Chevron Gas,-48.90
2025-02-08,Spotify,-10.99
2025-02-10,Walmart,-112.40
2025-02-12,Starbucks,-12.50
2025-02-15,Freelance Income,650.00
2025-02-17,Domino's Pizza,-24.99
2025-02-20,Verizon Bill,-85.00
2025-02-22,Walgreens,-41.20
2025-02-25,Lyft Ride,-19.80
2025-02-27,Best Buy,-156.00
2025-03-01,Monthly Salary,5000.00
2025-03-01,Rent Payment,-1200.00
2025-03-04,Safeway Groceries,-134.60
2025-03-07,BP Gas Station,-52.30
2025-03-09,Apple Music,-9.99
2025-03-11,Costco,-198.50
2025-03-14,Panera Bread,-15.75
2025-03-15,Freelance Income,800.00
2025-03-18,Uber Eats,-28.40
2025-03-20,Comcast Bill,-89.99
2025-03-23,CVS Pharmacy,-38.90
2025-03-25,AMC Theaters,-28.00
2025-03-28,Kroger Groceries,-87.30
2025-03-30,Water Bill,-65.00
2025-04-01,Monthly Salary,5000.00
2025-04-01,Rent Payment,-1200.00
2025-04-03,Whole Foods,-127.45
2025-04-05,Shell Gas,-52.30
2025-04-07,Netflix,-15.99
2025-04-09,Target,-67.34
2025-04-11,Chipotle,-14.50
2025-04-13,Electric Bill,-125.00
2025-04-15,Freelance Income,750.00
2025-04-17,CVS Pharmacy,-42.80
2025-04-19,Uber Ride,-35.20
2025-04-21,Amazon,-89.99
2025-04-23,Starbucks,-8.75
2025-04-25,Spotify,-10.99
2025-04-27,Trader Joe's,-94.20
2025-04-29,Chevron Gas,-48.90
